Trial,Time,Parameter,Threshold,Actual_Value,Expected_Alert,Actual_Alert,Status
1,1:30 PM,pH,> 8.5,8.71,Too Alkaline,Too Alkaline,Pass
2,1:40 PM,pH,> 8.5,8.76,Too Alkaline,Too Alkaline,Pass
3,1:50 PM,pH,> 8.5,9.84,Too Alkaline,Too Alkaline,Pass
4,2:00 PM,pH,> 8.5,8.88,Too Alkaline,Too Alkaline,Pass
5,2:10 PM,pH,> 8.5,9.09,Too Alkaline,Too Alkaline,Pass
6,2:20 PM,pH,> 8.5,8.64,Too Alkaline,Too Alkaline,Pass
7,2:30 PM,pH,> 8.5,9.02,Too Alkaline,Too Alkaline,Pass
8,2:40 PM,pH,> 8.5,9.52,Too Alkaline,Too Alkaline,Pass
9,2:50 PM,pH,> 8.5,9.32,Too Alkaline,Too Alkaline,Pass
10,3:00 PM,pH,> 8.5,9.25,Too Alkaline,Too Alkaline,Pass
11,3:10 PM,pH,> 8.5,10.07,Too Alkaline,Too Alkaline,Pass
12,3:20 PM,pH,> 8.5,9.25,Too Alkaline,Too Alkaline,Pass
13,3:30 PM,pH,6.5 to 8.5,8.36,No Alert,No Alert,Pass
14,3:40 PM,pH,6.5 to 8.5,8.15,No Alert,No Alert,Pass
15,3:50 PM,pH,> 8.5,9.13,Too Alkaline,Too Alkaline,Pass
16,4:00 PM,pH,6.5 to 8.5,8.44,No Alert,No Alert,Pass
17,4:10 PM,pH,6.5 to 8.5,8.46,No Alert,No Alert,Pass
18,4:20 PM,pH,6.5 to 8.5,7.97,No Alert,No Alert,Pass
19,4:30 PM,pH,6.5 to 8.5,7.44,No Alert,No Alert,Pass
20,4:40 PM,pH,> 8.5,8.89,Too Alkaline,Too Alkaline,Pass
21,4:50 PM,pH,> 8.5,8.65,Too Alkaline,Too Alkaline,Pass
22,5:00 PM,pH,> 8.5,8.75,Too Alkaline,Too Alkaline,Pass
23,5:10 PM,pH,> 8.5,9.18,Too Alkaline,Too Alkaline,Pass
24,5:20 PM,pH,> 8.5,8.51,Too Alkaline,Too Alkaline,Pass
25,5:30 PM,pH,> 8.5,8.89,Too Alkaline,Too Alkaline,Pass
26,5:40 PM,pH,> 8.5,8.53,Too Alkaline,Too Alkaline,Pass
27,5:50 PM,pH,6.5 to 8.5,7.99,No Alert,No Alert,Pass
28,6:00 PM,pH,6.5 to 8.5,8.33,No Alert,No Alert,Pass
29,6:10 PM,pH,6.5 to 8.5,8.23,No Alert,No Alert,Pass
30,6:20 PM,pH,6.5 to 8.5,7.77,No Alert,No Alert,Pass
31,6:30 PM,pH,> 8.5,8.78,Too Alkaline,Too Alkaline,Pass
32,6:40 PM,pH,6.5 to 8.5,7.87,No Alert,No Alert,Pass
33,6:50 PM,pH,6.5 to 8.5,7.89,No Alert,No Alert,Pass
34,7:00 PM,pH,6.5 to 8.5,7.68,No Alert,No Alert,Pass
