Trial,Date,Time,Location,AirTemp_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,Weather_Code,Weather_Condition,Source
1,2026-04-28,1:30 PM,"X25G+QRW, Clarin, Bohol",31.7,57,0.10,12.6,51,Light Drizzle,Open-Meteo Archive
2,2026-04-28,1:40 PM,"X25G+QRW, Clarin, Bohol",31.7,57,0.10,12.6,51,Light Drizzle,Open-Meteo Archive
3,2026-04-28,1:50 PM,"X25G+QRW, Clarin, Bohol",31.7,57,0.10,12.6,51,Light Drizzle,Open-Meteo Archive
4,2026-04-28,2:00 PM,"X25G+QRW, Clarin, Bohol",33.2,49,0.00,9.3,3,Overcast,Open-Meteo Archive
5,2026-04-28,2:10 PM,"X25G+QRW, Clarin, Bohol",33.2,49,0.00,9.3,3,Overcast,Open-Meteo Archive
6,2026-04-28,2:20 PM,"X25G+QRW, Clarin, Bohol",33.2,49,0.00,9.3,3,Overcast,Open-Meteo Archive
7,2026-04-28,2:30 PM,"X25G+QRW, Clarin, Bohol",33.2,49,0.00,9.3,3,Overcast,Open-Meteo Archive
8,2026-04-28,2:40 PM,"X25G+QRW, Clarin, Bohol",33.2,49,0.00,9.3,3,Overcast,Open-Meteo Archive
9,2026-04-28,2:50 PM,"X25G+QRW, Clarin, Bohol",33.2,49,0.00,9.3,3,Overcast,Open-Meteo Archive
10,2026-04-28,3:00 PM,"X25G+QRW, Clarin, Bohol",33.0,49,0.00,10.2,3,Overcast,Open-Meteo Archive
11,2026-04-28,3:10 PM,"X25G+QRW, Clarin, Bohol",33.0,49,0.00,10.2,3,Overcast,Open-Meteo Archive
12,2026-04-28,3:20 PM,"X25G+QRW, Clarin, Bohol",33.0,49,0.00,10.2,3,Overcast,Open-Meteo Archive
13,2026-04-28,3:30 PM,"X25G+QRW, Clarin, Bohol",33.0,49,0.00,10.2,3,Overcast,Open-Meteo Archive
14,2026-04-28,3:40 PM,"X25G+QRW, Clarin, Bohol",33.0,49,0.00,10.2,3,Overcast,Open-Meteo Archive
15,2026-04-28,3:50 PM,"X25G+QRW, Clarin, Bohol",33.0,49,0.00,10.2,3,Overcast,Open-Meteo Archive
16,2026-04-28,4:00 PM,"X25G+QRW, Clarin, Bohol",32.3,50,0.00,12.4,3,Overcast,Open-Meteo Archive
17,2026-04-28,4:10 PM,"X25G+QRW, Clarin, Bohol",32.3,50,0.00,12.4,3,Overcast,Open-Meteo Archive
18,2026-04-28,4:20 PM,"X25G+QRW, Clarin, Bohol",32.3,50,0.00,12.4,3,Overcast,Open-Meteo Archive
19,2026-04-28,4:30 PM,"X25G+QRW, Clarin, Bohol",32.3,50,0.00,12.4,3,Overcast,Open-Meteo Archive
20,2026-04-28,4:40 PM,"X25G+QRW, Clarin, Bohol",32.3,50,0.00,12.4,3,Overcast,Open-Meteo Archive
21,2026-04-28,4:50 PM,"X25G+QRW, Clarin, Bohol",32.3,50,0.00,12.4,3,Overcast,Open-Meteo Archive
22,2026-04-28,5:00 PM,"X25G+QRW, Clarin, Bohol",31.6,53,0.00,13.9,3,Overcast,Open-Meteo Archive
23,2026-04-28,5:10 PM,"X25G+QRW, Clarin, Bohol",31.6,53,0.00,13.9,3,Overcast,Open-Meteo Archive
24,2026-04-28,5:20 PM,"X25G+QRW, Clarin, Bohol",31.6,53,0.00,13.9,3,Overcast,Open-Meteo Archive
25,2026-04-28,5:30 PM,"X25G+QRW, Clarin, Bohol",31.6,53,0.00,13.9,3,Overcast,Open-Meteo Archive
26,2026-04-28,5:40 PM,"X25G+QRW, Clarin, Bohol",31.6,53,0.00,13.9,3,Overcast,Open-Meteo Archive
27,2026-04-28,5:50 PM,"X25G+QRW, Clarin, Bohol",31.6,53,0.00,13.9,3,Overcast,Open-Meteo Archive
28,2026-04-28,6:00 PM,"X25G+QRW, Clarin, Bohol",30.0,59,0.00,13.1,1,Mainly Clear,Open-Meteo Archive
29,2026-04-28,6:10 PM,"X25G+QRW, Clarin, Bohol",30.0,59,0.00,13.1,1,Mainly Clear,Open-Meteo Archive
30,2026-04-28,6:20 PM,"X25G+QRW, Clarin, Bohol",30.0,59,0.00,13.1,1,Mainly Clear,Open-Meteo Archive
31,2026-04-28,6:30 PM,"X25G+QRW, Clarin, Bohol",30.0,59,0.00,13.1,1,Mainly Clear,Open-Meteo Archive
32,2026-04-28,6:40 PM,"X25G+QRW, Clarin, Bohol",30.0,59,0.00,13.1,1,Mainly Clear,Open-Meteo Archive
33,2026-04-28,6:50 PM,"X25G+QRW, Clarin, Bohol",30.0,59,0.00,13.1,1,Mainly Clear,Open-Meteo Archive
34,2026-04-28,7:00 PM,"X25G+QRW, Clarin, Bohol",28.7,65,0.00,8.8,0,Clear Sky,Open-Meteo Archive
